area_sqft,bedroom_num,bathroom_num,balcony_num,property_type_code,facing_code,age_years,price_per_sqft,total_rooms,room_bath_ratio,price
950.0,2.0,2.0,3.0,0.0,3.0,5.0,0.10631578947368421,4.0,1.0,101.0
2449.99404,3.0,3.0,3.0,0.0,5.0,3.0,0.10163290029881053,6.0,1.0,249.00000000000003
1711.04544,3.0,3.0,2.0,0.0,5.0,1.0,0.1519538838197073,6.0,1.0,260.0
2033.96544,7.0,7.0,3.0,1.0,1.0,7.5,0.3072815239181252,14.0,1.0,625.0
1017.0,3.0,3.0,2.0,0.0,2.0,1.0,0.1671583087512291,6.0,1.0,170.0
1976.05512,3.0,3.0,3.0,0.0,4.0,3.0,0.07641487247582446,6.0,1.0,151.0
300.96144,1.0,2.0,2.0,0.0,3.0,1.0,0.0664536958621676,3.0,0.5,20.0
1600.0,3.0,3.0,3.0,0.0,5.0,3.0,0.096875,6.0,1.0,155.0
2000.0,4.0,4.0,3.0,0.0,3.0,3.0,0.0665,8.0,1.0,133.0
725.0,5.0,4.0,3.0,1.0,6.0,3.0,0.06896551724137931,9.0,1.25,50.0
472.5396,1.0,1.0,1.0,1.0,3.0,3.0,0.08041654075129365,2.0,1.0,38.0
1664.97552,3.0,3.0,2.0,0.0,3.0,5.0,0.12012188623650155,6.0,1.0,200.0
6000.068879999999,4.0,4.0,3.0,1.0,2.0,3.0,0.06666590134211928,8.0,1.0,400.0
1700.0,3.0,3.0,3.0,0.0,7.0,7.5,0.08823529411764706,6.0,1.0,150.0
1997.04492,3.0,5.0,3.0,0.0,3.0,1.0,0.07010358084484149,8.0,0.6,140.0
4518.08136,6.0,8.0,3.0,1.0,5.0,3.0,0.4072525157006026,14.0,0.75,1840.0
1130.00472,2.0,2.0,2.0,0.0,3.0,1.0,0.04867236306765162,4.0,1.0,55.0
2724.04548,4.0,4.0,3.0,0.0,1.0,3.0,0.06974920257205103,8.0,1.0,190.0
2600.0,3.0,3.0,3.0,0.0,1.0,7.5,0.11423076923076923,6.0,1.0,297.0
699.9829199999999,2.0,2.0,1.0,0.0,3.0,3.0,0.051429826316333555,4.0,1.0,36.0
783.0,3.0,3.0,3.0,0.0,8.0,5.0,0.1698595146871009,6.0,1.0,133.0
1423.0007999999998,3.0,3.0,2.0,0.0,4.0,5.0,0.08151787405881994,6.0,1.0,116.0
340.1424,1.0,1.0,1.0,0.0,7.0,3.0,0.0705586836571977,2.0,1.0,24.0
2545.04016,3.0,3.0,2.0,0.0,8.0,3.0,0.06404614063143113,6.0,1.0,163.0
4650.0,9.0,9.0,3.0,1.0,3.0,3.0,0.11290322580645161,18.0,1.0,525.0
1800.0,3.0,4.0,2.0,0.0,2.0,3.0,0.11666666666666667,7.0,0.75,210.0
1100.0,2.0,2.0,3.0,0.0,4.0,1.0,0.06454545454545454,4.0,1.0,71.0
720.00396,4.0,3.0,2.0,1.0,7.0,3.0,0.09722168750294095,7.0,1.3333333333333333,70.0
2200.0,4.0,5.0,3.0,0.0,2.0,3.0,0.1590909090909091,9.0,0.8,350.0
2025.03132,3.0,5.0,3.0,0.0,3.0,0.0,0.049381952275187525,8.0,0.6,100.0
360.05580000000003,6.0,3.0,2.0,1.0,3.0,7.5,0.13609001715845154,9.0,2.0,49.0
1199.97072,1.0,1.0,3.0,1.0,3.0,5.0,0.13750335508186398,2.0,1.0,165.0
1305.0,3.0,4.0,3.0,0.0,8.0,3.0,0.08812260536398467,7.0,0.75,115.0
1159.2828,3.0,4.0,3.0,0.0,1.0,1.0,0.13974157125422718,7.0,0.75,162.0
